778	765	750	740	747	759	765	766	769	776	786	795
770	758	745	737	741	751	753	761	777	789	802	814
777	763	747	736	735	743	750	767	787	806	820	832
786	767	750	737	729	739	752	769	785	797	808	822
794	773	756	741	730	732	744	759	772	779	789	806
799	782	763	750	737	728	732	745	757	767	782	801
802	788	771	761	751	736	729	738	751	764	779	798
799	790	780	772	762	746	733	737	754	770	784	794
811	799	787	771	757	741	728	730	745	765	779	783
823	807	790	774	762	748	733	724	733	750	764	763
830	814	801	787	776	761	743	728	725	737	748	751
822	818	811	801	791	776	757	739	726	725	735	751
